facility_id,industry,product,process,machinery,scale,units_per_month,location_city,location_state,location_lat,location_lng,waste_streams,num_waste_types
FAC_00000,textiles,garments,sewing,sewing_machine,large,30258,Delhi,Delhi,28.61,77.21,"[{""type"": ""fabric_scraps"", ""category"": ""textile"", ""quantity_min_tons"": 77.56, ""quantity_max_tons"": 103.71, ""contamination_pct"": 2.4, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""dye_wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 108.02, ""quantity_max_tons"": 156.08, ""contamination_pct"": 38.1, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",2
FAC_00001,food_processing,beverages,sterilization,mixer,small,341,Hyderabad,Telangana,17.39,78.49,"[{""type"": ""organic_waste"", ""category"": ""organic"", ""quantity_min_tons"": 0.04, ""quantity_max_tons"": 0.04, ""contamination_pct"": 12.3, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",1
FAC_00002,automotive,engine_components,welding,milling_machine,large,98209,Delhi,Delhi,28.61,77.21,"[{""type"": ""metal_scrap_steel"", ""category"": ""metal"", ""quantity_min_tons"": 262.76, ""quantity_max_tons"": 351.67, ""contamination_pct"": 1.6, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 137.63, ""quantity_max_tons"": 193.79, ""contamination_pct"": 1.8, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 33.02, ""quantity_max_tons"": 42.84, ""contamination_pct"": 6.2, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 16.2, ""quantity_max_tons"": 23.25, ""contamination_pct"": 19.4, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 54.26, ""quantity_max_tons"": 71.7, ""contamination_pct"": 22.4, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",5
FAC_00003,food_processing,packaged_foods,cooking,blast_freezer,small,791,Lucknow,Uttar Pradesh,26.85,80.95,"[{""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 0.05, ""quantity_max_tons"": 0.08, ""contamination_pct"": 5.6, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 0.19, ""quantity_max_tons"": 0.22, ""contamination_pct"": 14.1, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",2
FAC_00004,automotive,engine_components,cnc_machining,press,small,177,Ahmedabad,Gujarat,23.02,72.57,"[{""type"": ""used_coolant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.0, ""quantity_max_tons"": 0.0, ""contamination_pct"": 10.2, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.0, ""quantity_max_tons"": 0.0, ""contamination_pct"": 14.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 0.0, ""quantity_max_tons"": 0.01, ""contamination_pct"": 21.6, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",3
FAC_00005,food_processing,snacks,freezing,packaging_line,medium,8218,Lucknow,Uttar Pradesh,26.85,80.95,"[{""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 2.96, ""quantity_max_tons"": 3.63, ""contamination_pct"": 5.1, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 9.16, ""quantity_max_tons"": 12.0, ""contamination_pct"": 14.8, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}]",2
FAC_00006,food_processing,snacks,sterilization,industrial_oven,medium,6442,Mumbai,Maharashtra,19.08,72.88,"[{""type"": ""organic_waste"", ""category"": ""organic"", ""quantity_min_tons"": 3.85, ""quantity_max_tons"": 3.95, ""contamination_pct"": 19.7, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""packaging_cardboard"", ""category"": ""paper"", ""quantity_min_tons"": 2.19, ""quantity_max_tons"": 2.63, ""contamination_pct"": 4.0, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""wastewater"", ""category"": ""liquid"", ""quantity_min_tons"": 6.61, ""quantity_max_tons"": 9.6, ""contamination_pct"": 20.5, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00007,automotive,body_panels,cnc_machining,milling_machine,large,87731,Bengaluru,Karnataka,12.97,77.59,"[{""type"": ""metal_scrap_steel"", ""category"": ""metal"", ""quantity_min_tons"": 220.59, ""quantity_max_tons"": 293.01, ""contamination_pct"": 1.1, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 132.83, ""quantity_max_tons"": 151.5, ""contamination_pct"": 3.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""paint_sludge"", ""category"": ""chemical"", ""quantity_min_tons"": 50.8, ""quantity_max_tons"": 59.37, ""contamination_pct"": 28.7, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",3
FAC_00008,metalworking,tools,cutting,drill_press,large,86304,Kolkata,West Bengal,22.57,88.36,"[{""type"": ""metal_shavings"", ""category"": ""metal"", ""quantity_min_tons"": 299.96, ""quantity_max_tons"": 390.18, ""contamination_pct"": 6.7, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""welding_slag"", ""category"": ""metal"", ""quantity_min_tons"": 55.48, ""quantity_max_tons"": 88.02, ""contamination_pct"": 13.3, ""quality_grade"": ""Grade B"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""grinding_dust"", ""category"": ""metal"", ""quantity_min_tons"": 51.5, ""quantity_max_tons"": 65.53, ""contamination_pct"": 22.3, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Non-hazardous""}]",3
FAC_00009,automotive,engine_components,cnc_machining,spray_booth,small,870,Delhi,Delhi,28.61,77.21,"[{""type"": ""metal_scrap_aluminum"", ""category"": ""metal"", ""quantity_min_tons"": 0.07, ""quantity_max_tons"": 0.07, ""contamination_pct"": 3.5, ""quality_grade"": ""Grade A"", ""hazard_class"": ""Non-hazardous""}, {""type"": ""used_lubricant"", ""category"": ""chemical"", ""quantity_min_tons"": 0.01, ""quantity_max_tons"": 0.01, ""contamination_pct"": 17.8, ""quality_grade"": ""Grade C"", ""hazard_class"": ""Hazardous""}]",2
